id,name,name0,population,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022,who1998,who1999,who2000,who2001,who2002,who2003,who2004,who2005,who2006,who2007,who2008,who2009,who2010,who2011,who2012,who2013,who2014,who2015,who2016,who2017,who2018,who2019,who2020,who2021,who2022,nat1998,nat1999,nat2000,nat2001,nat2002,nat2003,nat2004,nat2005,nat2006,nat2007,nat2008,nat2009,nat2010,nat2011,nat2012,nat2013,nat2014,nat2015,nat2016,nat2017,nat2018,nat2019,nat2020,nat2021,nat2022
1195,Andaman and Nicobar,India,385325,12.18,11.84,13.13,13.83,15.42,15.71,17.59,16.18,18.52,17.82,18.85,20.23,19.4,18.42,18.97,18.64,21.52,17.13,19.75,16.55,18.3,18.78,18.9,17.2,14.22,0.7,0.67,0.8,0.87,1.02,1.05,1.23,1.1,1.32,1.26,1.36,1.49,1.41,1.32,1.37,1.34,1.62,1.19,1.45,1.13,1.3,1.35,1.36,1.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,Andhra Pradesh,India,54135799,15.25,17.4,18.21,20.03,20.36,21.21,22.57,24.95,25.65,27.13,28.05,29.61,27.55,28.07,25.7,26.41,29.76,25.65,26.77,30.3,29.33,27.33,27.94,29.35,23.64,1,1.22,1.29,1.47,1.51,1.59,1.72,1.96,2.02,2.17,2.26,2.41,2.21,2.26,2.03,2.1,2.43,2.02,2.13,2.48,2.38,2.19,2.25,2.39,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,Arunachal Pradesh,India,1594184,9.03,10.94,11.13,13.61,12.34,13.06,13.64,14.42,15.27,14.92,15,18.24,15.06,15.73,16.79,14.67,15.64,14.44,15.05,14.74,16.01,15.89,14.98,16.77,12,0.39,0.58,0.6,0.84,0.72,0.79,0.85,0.92,1.01,0.97,0.98,1.3,0.99,1.05,1.16,0.95,1.04,0.93,0.98,0.95,1.08,1.07,0.98,1.15,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,Assam,India,35662347,19.17,20.73,22.64,24.91,23.61,26.2,27.15,28.18,30.91,29.88,29.4,34.34,32,31.25,34.41,30.24,32.13,29.96,29.06,30.49,34.83,31.74,32.67,34.4,22.45,1.39,1.54,1.73,1.95,1.82,2.08,2.17,2.27,2.54,2.44,2.39,2.88,2.65,2.57,2.88,2.47,2.66,2.45,2.36,2.5,2.92,2.62,2.71,2.88,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Bihar,India,124906794,45.73,47.06,52.01,58.76,54.25,56.19,57.33,57.5,65.45,66.83,71.11,72.73,66.3,74.67,74.31,73.75,70.47,67.19,72.31,71.84,77.4,73.38,68.5,71.71,61.61,3.99,4.12,4.61,5.27,4.83,5.02,5.13,5.15,5.92,6.06,6.48,6.64,6.01,6.83,6.79,6.74,6.42,6.09,6.6,6.55,7.1,6.7,6.22,6.54,5.55,0.56,0.69,1.18,1.84,1.4,1.59,1.7,1.72,2.49,2.63,3.05,3.21,2.58,3.4,3.36,3.31,2.99,2.66,3.17,3.12,3.67,3.27,2.79,3.11,2.12
1200,Chandigarh,India,1212336,24.7,23.57,28.78,31.81,31.17,35.96,36.17,35.6,36.54,36.67,40.67,38.11,45.2,45.57,42.78,44.53,42.7,45.96,50.51,47.46,46.02,45.79,44.85,46.26,42.47,1.93,1.82,2.33,2.63,2.56,3.03,3.05,3,3.09,3.1,3.5,3.24,3.94,3.98,3.7,3.87,3.69,4.01,4.46,4.16,4.02,4,3.91,4.04,3.67,0,0,0,0,0,0,0,0,0,0,0.07,0,0.51,0.55,0.27,0.44,0.26,0.58,1.03,0.73,0.59,0.57,0.48,0.61,0.24
1201,Chhattisgarh,India,30194398,34.04,34.78,33.18,39.73,39.43,41.75,44.07,43.78,44.81,49.1,52.54,51.02,48.56,54.3,48.06,52.96,52.25,53.05,53.82,52.77,52.58,55.4,58.6,61.28,47.19,2.85,2.92,2.76,3.4,3.37,3.6,3.83,3.8,3.9,4.32,4.66,4.51,4.27,4.83,4.22,4.7,4.63,4.71,4.78,4.68,4.66,4.94,5.25,5.52,4.13,0,0,0,0,0,0.17,0.4,0.37,0.47,0.89,1.23,1.08,0.84,1.4,0.79,1.27,1.2,1.28,1.35,1.25,1.23,1.51,1.82,2.09,0.7
1202,Dadra and Nagar Haveli,India,432431,14.71,15.85,16.54,17.88,18.74,21.23,20.9,21.65,23.09,23.81,25.35,25.31,26.28,25.83,24.17,25.11,26.19,25.37,24.56,29.21,28.63,26.85,28.7,28.49,21.57,0.95,1.06,1.13,1.26,1.35,1.59,1.56,1.63,1.77,1.84,1.99,1.99,2.09,2.04,1.88,1.97,2.08,2,1.92,2.37,2.32,2.14,2.32,2.3,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,Daman and Diu,India,299603,18.34,19.19,18.71,19,19.49,21.94,21.34,23.27,24.56,25.4,27.12,25.92,27.73,26.38,24.75,26.43,28.11,27.91,27.87,32.14,31.39,29.67,31.5,30.37,24.17,1.31,1.39,1.34,1.37,1.42,1.66,1.6,1.79,1.92,2,2.17,2.05,2.23,2.1,1.94,2.1,2.26,2.25,2.24,2.66,2.59,2.42,2.6,2.49,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,Goa,India,1564898,16.19,17.32,18.51,18.59,21.2,20.48,19.84,22.67,20.71,24.49,25.79,26.61,24.47,24.86,25.13,23.43,30.11,27.15,26.53,27.62,30.48,24.33,29.01,31.01,24.9,1.1,1.21,1.32,1.33,1.59,1.52,1.45,1.73,1.54,1.91,2.04,2.12,1.91,1.95,1.97,1.81,2.46,2.17,2.11,2.22,2.5,1.89,2.35,2.55,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
