id,name,name0,population,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022,who1998,who1999,who2000,who2001,who2002,who2003,who2004,who2005,who2006,who2007,who2008,who2009,who2010,who2011,who2012,who2013,who2014,who2015,who2016,who2017,who2018,who2019,who2020,who2021,who2022,nat1998,nat1999,nat2000,nat2001,nat2002,nat2003,nat2004,nat2005,nat2006,nat2007,nat2008,nat2009,nat2010,nat2011,nat2012,nat2013,nat2014,nat2015,nat2016,nat2017,nat2018,nat2019,nat2020,nat2021,nat2022
2885,Busan,South Korea,3316636,19.03,17.71,21.56,19.08,20.01,23.54,19.7,21.16,22.15,21.51,21.1,21.55,20.26,19.68,20.87,21,22.5,20.77,20.76,20.14,19.79,19.8,17.75,17.88,18.64,1.37,1.25,1.62,1.38,1.47,1.82,1.44,1.58,1.68,1.62,1.58,1.62,1.5,1.44,1.56,1.57,1.72,1.55,1.54,1.48,1.45,1.45,1.25,1.26,1.34,0.39,0.27,0.64,0.4,0.49,0.84,0.46,0.6,0.7,0.64,0.6,0.64,0.52,0.46,0.58,0.59,0.74,0.57,0.56,0.5,0.47,0.47,0.27,0.28,0.36
2886,Chungcheongbuk-do,South Korea,1624100,15.26,15.35,19.75,20.69,18.72,25.79,21.38,22.56,22.62,23.59,22.72,21.91,21.14,20.44,22.36,24.52,23.1,23.09,21.67,19.93,19.78,20.32,19.31,18.64,19.64,1.01,1.01,1.45,1.54,1.34,2.04,1.61,1.72,1.73,1.82,1.74,1.66,1.58,1.51,1.7,1.91,1.77,1.77,1.63,1.46,1.45,1.5,1.4,1.34,1.43,0.03,0.03,0.47,0.56,0.36,1.06,0.63,0.74,0.75,0.84,0.76,0.68,0.6,0.53,0.72,0.93,0.79,0.79,0.65,0.48,0.47,0.52,0.42,0.36,0.45
2887,Chungcheongnam-do,South Korea,2142176,16.08,16.43,20.28,20.01,17.65,24.87,20.51,20.96,22.12,22.65,22.83,21.48,20.53,19.38,21.11,22.59,23.7,22.88,21.82,19.23,19.64,19.9,19.28,18.79,19.25,1.09,1.12,1.5,1.47,1.24,1.95,1.52,1.56,1.68,1.73,1.75,1.62,1.52,1.41,1.58,1.72,1.83,1.75,1.65,1.39,1.43,1.46,1.4,1.35,1.4,0.11,0.14,0.52,0.49,0.26,0.97,0.54,0.58,0.7,0.75,0.77,0.64,0.54,0.43,0.6,0.74,0.85,0.77,0.67,0.41,0.45,0.48,0.42,0.37,0.42
2888,Daegu,South Korea,2433254,17.19,15.98,20.55,19.17,19.77,25.19,19.88,22.56,22.44,23.13,22.29,22.03,21.3,21.67,21.88,23.13,22.93,21.77,21.81,20.62,19.82,20.74,19.08,18.11,20.27,1.19,1.08,1.52,1.39,1.45,1.98,1.46,1.72,1.71,1.78,1.69,1.67,1.6,1.63,1.65,1.78,1.76,1.64,1.65,1.53,1.45,1.54,1.38,1.28,1.5,0.21,0.1,0.54,0.41,0.47,1,0.48,0.74,0.73,0.8,0.71,0.69,0.62,0.65,0.67,0.8,0.78,0.66,0.67,0.55,0.47,0.56,0.4,0.3,0.52
2889,Daejeon,South Korea,1506846,15.05,15.31,19.81,18.99,17.63,24.29,20.28,21.38,21.52,22,21.54,20.61,19.54,18.99,20.44,22.13,21.61,21.3,20.5,18.32,18.17,19.02,18.08,17.51,18.06,0.98,1.01,1.45,1.37,1.24,1.89,1.5,1.61,1.62,1.67,1.62,1.53,1.42,1.37,1.51,1.68,1.63,1.6,1.52,1.31,1.29,1.37,1.28,1.23,1.28,0,0.03,0.47,0.39,0.26,0.91,0.52,0.63,0.64,0.69,0.64,0.55,0.44,0.39,0.53,0.7,0.65,0.62,0.54,0.33,0.31,0.39,0.3,0.25,0.3
2890,Gangwon-do,South Korea,1533681,16.42,15.75,18.91,20.5,18.17,25.53,20.28,21.59,23.11,21.59,21.69,20.42,19.73,19.8,20.34,22.5,21.95,20.55,20.76,19.52,18.4,19.25,18.54,17.94,19.78,1.12,1.05,1.36,1.52,1.29,2.01,1.5,1.63,1.77,1.63,1.64,1.51,1.44,1.45,1.5,1.72,1.66,1.52,1.54,1.42,1.31,1.4,1.33,1.27,1.45,0.14,0.07,0.38,0.54,0.31,1.03,0.52,0.65,0.79,0.65,0.66,0.53,0.46,0.47,0.52,0.74,0.68,0.54,0.56,0.44,0.33,0.42,0.35,0.29,0.47
2891,Gwangju,South Korea,1494125,17.18,16.63,22.05,19.74,19.25,25.1,20.48,21.63,22.15,22.47,22.7,21.51,21.59,20.52,21.4,21.6,23.91,22.52,22.47,19.09,19.46,19.87,17.9,18.01,18.71,1.19,1.14,1.67,1.44,1.4,1.97,1.52,1.63,1.68,1.71,1.73,1.62,1.63,1.52,1.61,1.63,1.85,1.72,1.71,1.38,1.42,1.46,1.26,1.27,1.34,0.21,0.16,0.69,0.46,0.42,0.99,0.54,0.65,0.7,0.73,0.75,0.64,0.65,0.54,0.63,0.65,0.87,0.74,0.73,0.4,0.44,0.48,0.28,0.29,0.36
2892,Gyeonggi-do,South Korea,13501840,18.17,18.68,22.52,22.78,19.43,27.45,22.19,22.74,24.89,24.33,24.45,23.09,21.59,21.44,22.26,25.15,26.18,24.94,24.44,21.74,21.64,22.56,21.77,21.68,22.5,1.29,1.34,1.72,1.74,1.41,2.2,1.68,1.74,1.95,1.89,1.91,1.77,1.63,1.61,1.69,1.97,2.08,1.95,1.91,1.64,1.63,1.72,1.64,1.63,1.72,0.31,0.36,0.74,0.76,0.43,1.22,0.7,0.76,0.97,0.91,0.93,0.79,0.65,0.63,0.71,0.99,1.1,0.97,0.93,0.66,0.65,0.74,0.66,0.65,0.74
2893,Gyeongsangbuk-do,South Korea,2634189,15.6,14.82,18.97,18.61,19.02,24.7,19.59,22.18,21.94,22.25,21.65,21.15,20.63,20.42,20.84,22.38,21.55,20.74,20.58,19.23,18.65,19.47,18.08,17.43,18.93,1.04,0.96,1.37,1.33,1.37,1.93,1.43,1.68,1.66,1.69,1.63,1.58,1.53,1.51,1.55,1.7,1.62,1.54,1.53,1.39,1.34,1.42,1.28,1.22,1.37,0.06,0,0.39,0.35,0.39,0.95,0.45,0.7,0.68,0.71,0.65,0.6,0.55,0.53,0.57,0.72,0.64,0.56,0.55,0.41,0.36,0.44,0.3,0.24,0.39
2894,Gyeongsangnam-do,South Korea,3282041,16.48,15.94,20.01,18.48,19.14,23.26,19.15,20.87,21.79,21.43,21.18,21.52,20.58,20.12,20.62,20.92,21.94,20.38,20.27,19.45,18.63,19.19,17.47,17.07,18.27,1.13,1.07,1.47,1.32,1.39,1.79,1.39,1.56,1.65,1.61,1.59,1.62,1.53,1.48,1.53,1.56,1.66,1.51,1.5,1.42,1.34,1.39,1.22,1.18,1.3,0.15,0.09,0.49,0.34,0.41,0.81,0.41,0.58,0.67,0.63,0.61,0.64,0.55,0.5,0.55,0.58,0.68,0.53,0.52,0.44,0.36,0.41,0.24,0.2,0.32
